Operator,Built(%),Trees(%),Grass(%),Water(%),Bare(%),No Data(%),Total ha,Cluster
Abertay University,96.26,0,0,0,0,3.74,2.391,1
Aberystwyth University,75.85,16.95,6.03,0,0,1.17,86.438,2
Anglia Ruskin University,76.21,16.51,5.83,0,0,1.46,45.735,2
Aston University,97.48,0.89,0,0.46,0,1.17,15.813,1
Bangor University,68.82,19.21,7.57,2.21,0,2.19,48.996,2
Bath Spa University,69.53,16.51,12.17,0,0,1.79,20.25,2
"Birkbeck, University of London",90.27,0,0,0,0,9.73,0.886,1
Birmingham City University,83.38,13.71,0,0,0,2.92,19.473,1
Bishop Grosseteste University,66.24,0,32.09,0,0,1.67,9.131,4
Bournemouth University,95.22,2.52,0,0,0,2.27,13.578,1
Brunel University London,98.96,0.06,0,0,0,0.98,35.353,1
Buckinghamshire New University,96.51,0,0,0,0,3.49,3.979,1
Canterbury Christ Church University,96.66,0.05,0,0,0,3.29,6.565,1
Cardiff Metropolitan University,73.02,14.75,6.53,4.12,0,1.58,24.534,3
Cardiff University,92.98,3.13,0,0,0,3.89,31.341,1
"City, University of London",94.27,0,0,0,0,5.73,2.422,1
Coventry University,95.24,0,0,0,0,4.76,15.763,1
Cranfield University,91.27,3.53,4.45,0,0,0.76,42.232,1
De Montfort University,98.12,0.05,0,0,0,1.83,14.682,1
Edge Hill University,66.31,4.78,28.17,0,0,0.74,53.43,4
Edinburgh Napier University,77.06,20.72,0,0.21,0,2.02,10.816,2
Falmouth University,94.07,0,0,0,0,5.93,1.542,1
Glasgow Caledonian University,98.29,0,0,0,0,1.71,5.913,1
Glasgow School of Art,93.66,0,0,0,0,6.34,1.409,1
Goldsmiths College,97.96,0,0,0,0,2.04,8.952,1
Guildhall School of Music and Drama,93.91,0,0,0,0,6.09,0.214,1
Harper Adams University,47.14,6.79,45.04,0,0,1.03,71.003,4
Heriot-Watt University,44.9,37.63,16.4,0.67,0,0.39,156.403,4
Imperial College London,19.55,73.32,5.68,0.44,0,1.02,92.683,4
Institute of Cancer Research,90.12,0,0,0,0,9.88,0.232,1
Keele University,34.25,40.72,24.39,0.08,0.23,0.33,225.811,4
King's College London,95.7,0,0,0,0,4.3,12.164,1
Kingston University,64.7,33.34,0,0,0,1.96,21.536,2
Leeds Arts University,87.93,0,0,0,0,12.07,0.151,1
Leeds Beckett University,40.99,47.34,7.87,2.91,0,0.89,40.591,3
Leeds Trinity University,53.84,20.29,23.46,1.5,0,0.91,16.565,4
Liverpool Hope University,85.89,6.18,1.67,4.65,0,1.6,18.485,3
Liverpool Institute for Performing Arts,96.35,0,0,0,0,3.65,0.855,1
Liverpool John Moores University,97.06,0,0,0,0,2.94,15.519,1
Liverpool School of Tropical Medicine,94.76,0,0,0,0,5.24,1.118,1
London Metropolitan University,92.98,0,0,0,0,7.02,3.446,1
London School of Economics and Political Science,94.49,0,0,0,0,5.51,3.562,1
London School of Hygiene and Tropical Medicine,90.21,0,0,0,0,9.79,0.505,1
London South Bank University,97.1,0,0,0,0,2.9,4.398,1
Loughborough University,74.32,16.14,7.77,0.9,0,0.87,135.706,2
Manchester Metropolitan University,98.22,0,0,0,0,1.78,16.599,1
Middlesex University,97.41,0,0,0,0,2.59,7.311,1
Newcastle University,98.11,0,0,0,0,1.89,26.586,1
Norwich University of the Arts,80.11,0,0,0,0,19.89,0.464,1
Nottingham Trent University,74.32,12.13,11,1.01,0,1.54,56.805,2
Open University,66.93,29.72,2.46,0,0,0.89,45.843,2
Oxford Brookes University,55.41,27.32,15.78,0,0,1.49,37.579,2
"Queen Margaret University, Edinburgh",74.38,16.19,8.44,0,0,0.99,14.597,2
Queen Mary University of London,97.86,0,0,0,0,2.14,10.19,1
Queen's University Belfast,85.3,11.73,0,0,0,2.98,24.981,1
Robert Gordon University,82.59,15.83,0,0,0,1.58,21.808,2
Roehampton University,73.79,16.27,8.41,0,0,1.52,23.077,2
Rose Bruford College of Theatre and Performance,93,2.87,0,0,0,4.13,2.375,1
Royal Agricultural University,18.97,14.21,66.05,0,0,0.77,42.505,4
Royal College of Art,90.34,0,0,0,0,9.66,0.607,1
Royal College of Music,92.48,0,0,0,0,7.52,0.43,1
Royal Holloway and Bedford New College,59.8,29.53,4.9,1.07,3.89,0.81,59.653,2
Royal Veterinary College,30.78,5.09,63.27,0,0,0.86,62.575,4
Sheffield Hallam University,97.9,0,0,0,0,2.1,17.795,1
SOAS University of London,83.14,0,0,0,0,16.86,0.111,1
Solent University,83.48,12.22,0,2.24,0,2.07,10.655,2
"St George's, University of London",95.09,0,0,0,0,4.91,2.031,1
St Mary's University College,96.54,0,0,0,0,3.46,2.292,1
"St Mary's University, Twickenham",85.75,7.51,4.86,0,0,1.88,12.205,1
Staffordshire University,76.06,2.75,18.79,1.16,0,1.24,44.198,2
Swansea University,72.79,14.03,11.76,0,0.1,1.32,48.457,2
Teesside University,98.05,0,0,0.73,0,1.23,13.622,1
The Arts University Bournemouth,98.22,0,0,0,0,1.78,5.193,1
The National Film and Television School,96.6,0,0,0,0,3.4,1.447,1
The Royal Central School of Speech and Drama,93.4,0,0,0,0,6.6,0.484,1
The University of Aberdeen,88.36,5.72,4.13,0,0,1.79,39.797,1
The University of Bath,56.13,26.18,16.28,0.76,0,0.66,76.042,2
The University of Birmingham,77.93,18.74,0.41,1.67,0,1.25,103.35,2
The University of Bradford,86.06,1.27,10.97,0,0,1.7,14.427,1
The University of Brighton,64.14,11.64,20.57,1.41,0,2.23,36.163,2
The University of Bristol,75.63,4.88,17.08,0.13,0,2.28,65.776,2
The University of Cambridge,74.29,14.41,9.32,0.26,0,1.72,398.44,2
The University of Central Lancashire,98.41,0,0,0,0,1.59,19.685,1
The University of Chichester,72.04,2.47,23.8,0,0,1.69,27.805,2
The University of Dundee,98.64,0,0,0,0,1.36,20.104,1
The University of East Anglia,29.28,41.53,23.22,5.41,0,0.56,123.307,3
